paper,form,label,qid,page,flags
eju-2003-2-science-ja,PHYSICS_JA,問3,q_20286bedbe65ca655497a12c,7,latex_in_text
eju-2003-2-science-ja,PHYSICS_JA,問1,q_fdad2e0bdd52c281b52218b7,8,latex_in_text
eju-2003-2-science-ja,PHYSICS_JA,問2,q_99ac160416276539b8c4fd73,8,latex_in_text
eju-2003-2-science-ja,CHEMISTRY_JA,問2,q_21f160561c85f8265014394e,13,latex_in_text
eju-2003-2-science-ja,CHEMISTRY_JA,問10,q_a8034fb495f52ad032513643,16,latex_in_text
eju-2003-2-science-ja,CHEMISTRY_JA,問13,q_975e2c5be7694e8a7d34799d,18,latex_in_text
eju-2003-2-science-ja,CHEMISTRY_JA,問15,q_3c3a6a68a0ab180a1bedb0dd,19,latex_in_text
eju-2003-2-science-ja,CHEMISTRY_JA,問18,q_39f64372494e3bde304b8f21,20,latex_in_text
eju-2003-2-science-ja,CHEMISTRY_JA,問19,q_3160316edb90b16d70cf3ff7,20,latex_in_text
eju-2003-2-science-ja,BIOLOGY_JA,問2,q_f2e3c12af97e2397105b3124,23,latex_in_text
eju-2003-2-science-ja,BIOLOGY_JA,問3(1),q_0e284348498427dc98137f1c,23,explicit_figure_reference
eju-2003-2-science-ja,BIOLOGY_JA,問3(2),q_bd54b46f20c49716c83a0e78,24,explicit_figure_reference
eju-2003-2-science-ja,BIOLOGY_JA,問5(1),q_33adf829342750633540637d,26,explicit_figure_reference
eju-2003-2-science-ja,BIOLOGY_JA,問5(2),q_c7cccb33475de60e7719b3ae,26,explicit_figure_reference
eju-2003-2-science-ja,BIOLOGY_JA,問6(1),q_d0202094fa91cb7bdcbaf2cd,27,explicit_figure_reference
eju-2003-2-science-ja,BIOLOGY_JA,問6(2),q_df7842a769e0da0a9b72b4ee,27,explicit_figure_reference
eju-2004-1-japan-world-ja,JAPAN_AND_WORLD_JA,問22,q_dba4816deee5900b5e1e3ee5,19,explicit_figure_reference
eju-2004-1-science-ja,BIOLOGY_JA,問4,q_b1aea1966fd4e684730130af,25,latex_in_text
eju-2004-1-science-ja,BIOLOGY_JA,問6(1),q_15064ab3240f500bc2f7feb3,27,explicit_figure_reference
eju-2004-1-science-ja,BIOLOGY_JA,問6(2),q_0632d7860d1c0f082105b44d,27,explicit_figure_reference
eju-2004-1-science-ja,BIOLOGY_JA,問7,q_9443c0f9fe8d1b3834725455,28,latex_in_text
eju-2004-1-science-ja,BIOLOGY_JA,問14,q_779f9cff18b4ebb9d4743f62,32,explicit_figure_reference
eju-2004-2-japan-world-ja,JAPAN_AND_WORLD_JA,問1(2),q_4ab357fc17c6ab6ae112f5f4,3,underline_reference
eju-2004-2-japan-world-ja,JAPAN_AND_WORLD_JA,問1(3),q_d0e1f6e95e51b6666f17c910,3,underline_reference
eju-2004-2-japan-world-ja,JAPAN_AND_WORLD_JA,問1(4),q_204d8b1dbe13716416478602,4,underline_reference
eju-2004-2-japan-world-ja,JAPAN_AND_WORLD_JA,問2(1),q_aab1bfa81c152c5d824f0579,4,underline_reference
eju-2004-2-japan-world-ja,JAPAN_AND_WORLD_JA,問2(3),q_1ec457df8ed660b485fdb28d,5,underline_reference
eju-2004-2-japan-world-ja,JAPAN_AND_WORLD_JA,問2(4),q_cf75603c4369fe4dcfd49b55,5,explicit_figure_reference
eju-2004-2-japan-world-ja,JAPAN_AND_WORLD_JA,問20(1),q_938c260ca75636b6eda364a5,14,underline_reference
eju-2004-2-japan-world-ja,JAPAN_AND_WORLD_JA,問20(3),q_5dc71509f224e98c6fe44feb,14,underline_reference
eju-2004-2-japan-world-ja,JAPAN_AND_WORLD_JA,問21(1),q_75b568a75d4e6a1ff1294673,15,underline_reference
eju-2004-2-japanese-ja,JAPANESE_JA,問1,q_b7af0269b5d77ce233e147fa,5,underline_reference
eju-2004-2-japanese-ja,JAPANESE_JA,問11,q_97deb523975956389a0c6e1c,15,underline_reference
eju-2004-2-japanese-ja,JAPANESE_JA,問17,q_679290d1fac828b4aaf9f51f,21,underline_reference
eju-2004-2-science-ja,PHYSICS_JA,問1,q_f49ad13169333c649d6a6b98,2,latex_in_text
eju-2004-2-science-ja,PHYSICS_JA,問2,q_7670662519ba121bcbead961,3,latex_in_text;markdown_table
eju-2004-2-science-ja,PHYSICS_JA,問3,q_00ceda6ee955b432c450b6f9,4,latex_in_text
eju-2004-2-science-ja,PHYSICS_JA,問4,q_20b8c0a93dafd989cc1289bc,5,latex_in_text
eju-2004-2-science-ja,PHYSICS_JA,問5,q_c1a28527c769db198dc4d417,6,latex_in_text
eju-2004-2-science-ja,PHYSICS_JA,問1,q_83186d309f2553c51a142fc7,9,latex_in_text
eju-2004-2-science-ja,PHYSICS_JA,問3,q_227d016eb5dc4a272ad71587,11,latex_in_text
eju-2004-2-science-ja,PHYSICS_JA,問1,q_3a84e1a863c1f248aca60d28,12,latex_in_text
eju-2004-2-science-ja,CHEMISTRY_JA,問2,q_997ecdc9e9ff4ada1188801f,18,latex_in_text
eju-2004-2-science-ja,CHEMISTRY_JA,問3,q_02fe32f0a4412036ce543259,18,latex_in_text
eju-2004-2-science-ja,CHEMISTRY_JA,問4,q_16b9b5202798294a45373643,18,latex_in_text
eju-2004-2-science-ja,CHEMISTRY_JA,問6,q_4fd5a8fd3862723e25b10102,19,latex_in_text
eju-2004-2-science-ja,CHEMISTRY_JA,問7,q_4081cf46c5ed55d187a50fbb,19,latex_in_text
eju-2004-2-science-ja,CHEMISTRY_JA,問17,q_5950a2c3902d70c70ec16bcc,23,latex_in_text;duplicate_options
eju-2004-2-science-ja,CHEMISTRY_JA,問20,q_87dbba30bc8dd33154f9c873,25,latex_in_text;raw_html
eju-2004-2-science-ja,BIOLOGY_JA,問2(2),q_474bed5aa09c95c702bbe00d,28,explicit_figure_reference
eju-2004-2-science-ja,BIOLOGY_JA,問3(1),q_aef62d0cb08107838f431bbe,29,explicit_figure_reference
eju-2004-2-science-ja,BIOLOGY_JA,問3(2),q_8aee25c10c598a1bfc52adaf,29,explicit_figure_reference
eju-2004-2-science-ja,BIOLOGY_JA,問4(2),q_5760e34a74afeda243479ec6,30,explicit_figure_reference
eju-2004-2-science-ja,BIOLOGY_JA,問6,q_9a3836d6f4270168c907fe22,32,explicit_figure_reference
eju-2004-2-science-ja,BIOLOGY_JA,問7,q_4eb4a418541fb6eb82c79484,33,explicit_figure_reference
eju-2004-2-science-ja,BIOLOGY_JA,問12,q_c3e089c114cabbdf74dd3405,36,explicit_figure_reference
eju-2004-2-science-ja,BIOLOGY_JA,問13,q_a00c9ef3b8da6b22d34697a4,36,latex_in_text
eju-2004-2-science-ja,BIOLOGY_JA,問14(1),q_cc8736abd835452b3be88602,37,explicit_figure_reference
eju-2004-2-science-ja,BIOLOGY_JA,問14(2),q_b6545cf01c6b29c76a609d12,37,explicit_figure_reference
eju-2005-1-japan-world-ja,JAPAN_AND_WORLD_JA,問1(1),q_cd9c777a8fc004ec51180ac9,2,explicit_figure_reference;underline_reference
eju-2005-1-japan-world-ja,JAPAN_AND_WORLD_JA,問4,q_1264db3acc02cc5dd046b6e8,6,explicit_figure_reference
eju-2005-1-japan-world-ja,JAPAN_AND_WORLD_JA,問16(1),q_b8e12c4fd31885d0e6e92d16,12,explicit_figure_reference
eju-2005-1-japan-world-ja,JAPAN_AND_WORLD_JA,問16(2),q_fcad55700e24cefa293d7d90,12,explicit_figure_reference
eju-2005-1-japan-world-ja,JAPAN_AND_WORLD_JA,問17(1),q_707b7ba786ddba1ac7ec1a44,13,underline_reference
eju-2005-1-japan-world-ja,JAPAN_AND_WORLD_JA,問22,q_e987e91274510a332c45ba6a,16,underline_reference
eju-2005-1-japanese-ja,JAPANESE_JA,問2,q_a8626b2d76ab9b79f3fe1cea,8,underline_reference
eju-2005-1-japanese-ja,JAPANESE_JA,問6,q_30005688605d793db892f578,12,explicit_figure_reference
eju-2005-1-japanese-ja,JAPANESE_JA,問15,q_fe11fea0aae892726126a777,21,underline_reference
eju-2005-1-science-ja,PHYSICS_JA,問1,q_9696591091b83a6fdfe7b8f4,2,latex_in_text
eju-2005-1-science-ja,PHYSICS_JA,問2,q_9a1bf50d8f8d02c93de8d1ab,3,latex_in_text
eju-2005-1-science-ja,PHYSICS_JA,問3,q_960f1cfd27785a1111fcac0a,4,latex_in_text
eju-2005-1-science-ja,PHYSICS_JA,問4,q_47dca5f4a138eefde5581aa1,4,latex_in_text
eju-2005-1-science-ja,PHYSICS_JA,問5,q_fd57a9ee6412505b2b4368b4,5,latex_in_text
eju-2005-1-science-ja,PHYSICS_JA,問6,q_45b423dc3077535bb9cfc404,5,latex_in_text
eju-2005-1-science-ja,PHYSICS_JA,問7,q_7ae53b1cd3c033d46ed562c7,5,latex_in_text
eju-2005-1-science-ja,PHYSICS_JA,問1,q_ccc3ee0affe2577c8773673e,6,latex_in_text
eju-2005-1-science-ja,PHYSICS_JA,問2,q_a1da81fd3d1408a8fe85f350,6,latex_in_text
eju-2005-1-science-ja,PHYSICS_JA,問1,q_80091bf62cc06035347bfd30,8,latex_in_text
eju-2005-1-science-ja,PHYSICS_JA,問2,q_6a9c2c06736683431fcc9496,9,latex_in_text
eju-2005-1-science-ja,PHYSICS_JA,問1,q_11a5737bad3dd64aaadb2c20,10,latex_in_text
eju-2005-1-science-ja,PHYSICS_JA,問2,q_ce383ea38026916c566d1566,11,latex_in_text
eju-2005-1-science-ja,PHYSICS_JA,問3,q_28c717bf1b33580a0f310367,12,latex_in_text;duplicate_options
eju-2005-1-science-ja,PHYSICS_JA,問4,q_9a7fe417b7eee2ec0ead0b7b,13,latex_in_text
eju-2005-1-science-ja,PHYSICS_JA,問5,q_be0fb3848b99ca408dc67c82,13,latex_in_text
eju-2005-1-science-ja,PHYSICS_JA,問6,q_a86fd8913f8ac5c23d49d350,14,latex_in_text
eju-2005-1-science-ja,CHEMISTRY_JA,問7,q_5c98585d2a1477d34b6bf6b9,18,latex_in_text;underline_reference
eju-2005-1-science-ja,CHEMISTRY_JA,問8,q_d974f2425dabfbe58b674664,19,latex_in_text;explicit_figure_reference
eju-2005-1-science-ja,CHEMISTRY_JA,問9,q_8a8dfafc95b907d06ea3bd47,19,latex_in_text
eju-2005-1-science-ja,CHEMISTRY_JA,問10,q_bbedcde3f5c7ab10df648c7d,20,latex_in_text
eju-2005-1-science-ja,CHEMISTRY_JA,問12,q_abab338cd5cd7dd706d3cc5f,21,latex_in_text
eju-2005-1-science-ja,CHEMISTRY_JA,問17,q_320e7baa48e9195359b4a18a,24,latex_in_text
eju-2005-2-japan-world-ja,JAPAN_AND_WORLD_JA,問1(1),q_aef97dbcc6f50ba2ee34e247,2,explicit_figure_reference
eju-2005-2-japan-world-ja,JAPAN_AND_WORLD_JA,問1(2),q_afea9778a764867ed85e96c7,3,underline_reference
eju-2005-2-japan-world-ja,JAPAN_AND_WORLD_JA,問1(4),q_ef7b844b5f9f14615a47f237,3,underline_reference
eju-2005-2-japan-world-ja,JAPAN_AND_WORLD_JA,問2(3),q_36f48591129d63a0974e430d,5,underline_reference
eju-2005-2-japan-world-ja,JAPAN_AND_WORLD_JA,問2(4),q_c7a1a1ec1f9346538dc195e2,5,underline_reference
eju-2005-2-japan-world-ja,JAPAN_AND_WORLD_JA,問4,q_a14eca847d08f8924526298f,6,latex_in_text
eju-2005-2-japan-world-ja,JAPAN_AND_WORLD_JA,問9(1),q_fce2d8611f4ad98b997968d4,9,explicit_figure_reference
eju-2005-2-japan-world-ja,JAPAN_AND_WORLD_JA,問12(1),q_e9a49c06f98ac861fd49348c,11,underline_reference
eju-2005-2-japan-world-ja,JAPAN_AND_WORLD_JA,問17(2),q_f1dc2090e6df199fec507e9e,14,underline_reference
eju-2005-2-japan-world-ja,JAPAN_AND_WORLD_JA,問19(1),q_b96d6107c39c11f06d01a522,15,underline_reference
eju-2005-2-japan-world-ja,JAPAN_AND_WORLD_JA,問19(2),q_a02aeff560451f9e968ff843,15,underline_reference
eju-2005-2-japan-world-ja,JAPAN_AND_WORLD_JA,問19(3),q_fdb506a954a0772e50d67a37,16,underline_reference
eju-2005-2-japan-world-ja,JAPAN_AND_WORLD_JA,問23(1),q_6c952219ba783a30dfee6cf7,18,explicit_figure_reference
eju-2005-2-japan-world-ja,JAPAN_AND_WORLD_JA,問23(2),q_d5a8974a69326656c560e6a0,18,explicit_figure_reference
eju-2005-2-japanese-ja,JAPANESE_JA,問2,q_c4bc9bc35172af05ed9db747,8,explicit_figure_reference
eju-2005-2-japanese-ja,JAPANESE_JA,問5,q_31d3f790b43efce07daf48a5,11,underline_reference
eju-2005-2-japanese-ja,JAPANESE_JA,問13,q_d6d59fdb4e866a9d0062802e,19,underline_reference
eju-2005-2-science-ja,PHYSICS_JA,問1,q_c81b7d160cca60f8bab1e180,2,latex_in_text
eju-2005-2-science-ja,PHYSICS_JA,問3,q_5ee849e92bde1977c858dda9,11,latex_in_text
eju-2005-2-science-ja,PHYSICS_JA,問2,q_931ca90b3af8e2fdc0a2aed0,13,latex_in_text
eju-2005-2-science-ja,PHYSICS_JA,問3,q_ac869b64eee0b4db6df00ca9,13,latex_in_text
eju-2005-2-science-ja,CHEMISTRY_JA,問1,q_33a4fcf033bfce575b4260e8,17,latex_in_text
eju-2005-2-science-ja,CHEMISTRY_JA,問3,q_1b28637b1c0ee19f343dd0ec,18,latex_in_text
eju-2005-2-science-ja,CHEMISTRY_JA,問4,q_1d0300aca725804b7d21df5d,18,latex_in_text
eju-2005-2-science-ja,CHEMISTRY_JA,問9,q_ded1687c940ba68d21dab576,20,latex_in_text
eju-2005-2-science-ja,CHEMISTRY_JA,問10,q_a7bbe714af052b9bf508f9cd,20,latex_in_text
eju-2005-2-science-ja,CHEMISTRY_JA,問11,q_9ebc087564424a6c025640ab,21,latex_in_text
eju-2005-2-science-ja,CHEMISTRY_JA,問12,q_ed5ccfaf6b5b4c9852be763b,21,latex_in_text
eju-2005-2-science-ja,CHEMISTRY_JA,問13,q_f0c944c6cf75345232264c4a,21,latex_in_text
eju-2005-2-science-ja,BIOLOGY_JA,問4(1),q_3fc1b6b52c37a8077cd29480,28,explicit_figure_reference
eju-2005-2-science-ja,BIOLOGY_JA,問4(2),q_e71d8b7c7eaf6af1dbf7d244,29,explicit_figure_reference
eju-2005-2-science-ja,BIOLOGY_JA,問6,q_44cbaffd9aafb0b94ecc0cd4,30,explicit_figure_reference
eju-2005-2-science-ja,BIOLOGY_JA,問7,q_48075d9e600e6b811810ce16,30,latex_in_text
eju-2005-2-science-ja,BIOLOGY_JA,問9,q_de0e5437af8d74eb413356b3,32,latex_in_text;explicit_figure_reference
eju-2005-2-science-ja,BIOLOGY_JA,問10(1),q_84387f2c383742b16494a552,33,explicit_figure_reference
eju-2005-2-science-ja,BIOLOGY_JA,問10(2),q_3127ee21a1bea2b23b4028e6,33,explicit_figure_reference
eju-2005-2-science-ja,BIOLOGY_JA,問13,q_d8c7479f51f96a1c346150cd,34,explicit_figure_reference
eju-2006-1-japan-world-ja,JAPAN_AND_WORLD_JA,問2(4),q_92dc4e7bb7e85a4a133f103a,5,underline_reference
eju-2006-1-japan-world-ja,JAPAN_AND_WORLD_JA,問12(3),q_968da4973ae3009ec7c815d7,14,latex_in_text
eju-2006-1-japan-world-ja,JAPAN_AND_WORLD_JA,問18(1),q_acf5401591e29d8ebd9a3b28,17,underline_reference
eju-2006-1-japan-world-ja,JAPAN_AND_WORLD_JA,問18(2),q_12c4497aaef22314c46979f0,17,underline_reference
eju-2006-1-japan-world-ja,JAPAN_AND_WORLD_JA,問19(2),q_28cf35bbd584a8f497662d1b,18,underline_reference
eju-2006-1-japan-world-ja,JAPAN_AND_WORLD_JA,問25(2),q_544e8bf2177fad6db4b814b4,22,underline_reference
eju-2006-1-japanese-ja,JAPANESE_JA,問4,q_8c2fc5280a5e454fdf31404c,10,underline_reference
eju-2006-1-japanese-ja,JAPANESE_JA,問9,q_ff8078c11c69e630d4e74fb1,15,underline_reference
eju-2006-1-science-ja,PHYSICS_JA,問4,q_19b13e3dfdc895d15dfdc929,5,latex_in_text
eju-2006-1-science-ja,PHYSICS_JA,問5,q_06e879b7d694696f60becaf0,5,latex_in_text
eju-2006-1-science-ja,PHYSICS_JA,問6,q_79414ad05723e433e3e06f2b,6,latex_in_text
eju-2006-1-science-ja,PHYSICS_JA,問2,q_8f9590ad07d471cb37d8831f,8,latex_in_text
eju-2006-1-science-ja,PHYSICS_JA,問5,q_ebdcc3586bf8fa918c0faf5d,14,latex_in_text
eju-2006-1-science-ja,CHEMISTRY_JA,問2,q_ad4ee5c6d37ca73a6b1c8463,17,latex_in_text
eju-2006-1-science-ja,CHEMISTRY_JA,問3,q_081669d56520fe44a5a2fcbb,17,latex_in_text
eju-2006-1-science-ja,CHEMISTRY_JA,問6,q_1e8ff40e62a51ca6a9c17b65,19,latex_in_text
eju-2006-1-science-ja,CHEMISTRY_JA,問7,q_9a14e7a615bdaca3744486c7,19,latex_in_text
eju-2006-1-science-ja,CHEMISTRY_JA,問11,q_ddbd0ead6a4e8471e74a3e80,21,latex_in_text;explicit_figure_reference;raw_html
eju-2006-1-science-ja,CHEMISTRY_JA,問12,q_15e928958230e36df97045d7,21,latex_in_text
eju-2006-1-science-ja,CHEMISTRY_JA,問13,q_7b72c61e238e89da5944385b,22,explicit_figure_reference
eju-2006-1-science-ja,CHEMISTRY_JA,問15,q_a1febaa26c7840e1d8d2e8ba,24,latex_in_text
eju-2006-1-science-ja,CHEMISTRY_JA,問16,q_25d4e483ab1ff31f6901aae2,25,explicit_figure_reference
eju-2006-1-science-ja,CHEMISTRY_JA,問18,q_13605aeff8b9cb9b1f50137a,26,latex_in_text
eju-2006-1-science-ja,CHEMISTRY_JA,問19,q_ad2016034c73cf5259ef8098,27,latex_in_text;explicit_figure_reference
eju-2006-2-japan-world-ja,JAPAN_AND_WORLD_JA,問1(1),q_b52b5a89afe9607621ec19b3,2,underline_reference
eju-2006-2-japan-world-ja,JAPAN_AND_WORLD_JA,問2(3),q_18243cb69ddf473b9dffb382,5,underline_reference
eju-2006-2-japan-world-ja,JAPAN_AND_WORLD_JA,問2(4),q_e7a0bdb0c1c918aefae713fa,5,raw_html
eju-2006-2-japan-world-ja,JAPAN_AND_WORLD_JA,問10(2),q_e2a63b6e5f007b61f5c77946,10,explicit_figure_reference
eju-2006-2-japanese-ja,JAPANESE_JA,問3,q_7328a2ca89961f73a0dbe14f,9,underline_reference
eju-2006-2-science-ja,PHYSICS_JA,問1,q_39a7d706817d60d7cd31a745,2,latex_in_text
eju-2006-2-science-ja,PHYSICS_JA,問2,q_4fa64c83aac92c3c6fd1d140,3,latex_in_text;explicit_figure_reference
eju-2006-2-science-ja,PHYSICS_JA,問3,q_ea4ced40721a52a62c516a09,3,latex_in_text
eju-2006-2-science-ja,PHYSICS_JA,問4,q_9e10551d6fd867cc40619f53,4,latex_in_text
eju-2006-2-science-ja,PHYSICS_JA,問6,q_2aa54d8f2a8b9a2adbbbbfc6,6,latex_in_text
eju-2006-2-science-ja,PHYSICS_JA,問1,q_40ea3992d8f705cdd6f3e5b0,7,latex_in_text
eju-2006-2-science-ja,PHYSICS_JA,問2,q_eb8f20d6cb99cff377034ccd,7,latex_in_text
eju-2006-2-science-ja,PHYSICS_JA,問2,q_f0689130b507a06161ae0fb3,10,latex_in_text
eju-2006-2-science-ja,PHYSICS_JA,問3,q_a1c250a07d581b0a097f5699,11,latex_in_text
eju-2006-2-science-ja,PHYSICS_JA,問1,q_7884d2ed67255010ffcef610,12,latex_in_text
eju-2006-2-science-ja,PHYSICS_JA,問2,q_8df962dc6f9971b7281e82b1,13,latex_in_text
eju-2006-2-science-ja,PHYSICS_JA,問3,q_4d804bc8dc9989efbc45dfc4,13,latex_in_text
eju-2006-2-science-ja,PHYSICS_JA,問4,q_c4309c7d1eb16eb6ecd5d654,14,latex_in_text
eju-2006-2-science-ja,PHYSICS_JA,問5,q_8537992613e529bb944a4192,14,latex_in_text;explicit_figure_reference;duplicate_options
eju-2006-2-science-ja,PHYSICS_JA,問6,q_b6aa8c58c9817e3c1c97166c,15,latex_in_text;duplicate_options
eju-2006-2-science-ja,PHYSICS_JA,問7,q_94ddb89dd31a0700793318a0,16,latex_in_text
eju-2006-2-science-ja,CHEMISTRY_JA,問1,q_ed5118831413ab58289eb9e5,17,latex_in_text
eju-2006-2-science-ja,BIOLOGY_JA,問3,q_d1886269c31af25f738a1f31,28,explicit_figure_reference
eju-2006-2-science-ja,BIOLOGY_JA,問6,q_0a80d6eb37cc269b14200862,31,explicit_figure_reference
eju-2006-2-science-ja,BIOLOGY_JA,問9(2),q_b174da20855bc2a32f5f9873,35,explicit_figure_reference
eju-2006-2-science-ja,BIOLOGY_JA,問13(2),q_a2676d860ec80ae15f7c0279,38,explicit_figure_reference
eju-2006-2-science-ja,BIOLOGY_JA,問14,q_cdb2ab833aac32bf7c6117bb,39,explicit_figure_reference
eju-2007-1-japan-world-ja,JAPAN_AND_WORLD_JA,問1(1),q_26e280329ffd597c10839d44,2,underline_reference
eju-2007-1-japan-world-ja,JAPAN_AND_WORLD_JA,問1(3),q_0ed94c6fe30efed20e507b4b,3,explicit_figure_reference;underline_reference
eju-2007-1-japan-world-ja,JAPAN_AND_WORLD_JA,問2(2),q_ab8be09fd7d52253e15a4ae8,4,underline_reference
eju-2007-1-japan-world-ja,JAPAN_AND_WORLD_JA,問2(3),q_863060ef9b459403cd8840ab,5,underline_reference
eju-2007-1-japan-world-ja,JAPAN_AND_WORLD_JA,問2(4),q_71b85125d5e73bc7c7f031c5,5,underline_reference
eju-2007-1-japan-world-ja,JAPAN_AND_WORLD_JA,問6(2),q_f8cc15a7e16227529625d7b8,8,duplicate_options
eju-2007-1-japan-world-ja,JAPAN_AND_WORLD_JA,問13,q_6dbf7d1be7f8dc30d1be39cb,11,explicit_figure_reference
eju-2007-1-japan-world-ja,JAPAN_AND_WORLD_JA,問20(1),q_e11b5d357ffa1936493b94f3,15,latex_in_text
eju-2007-1-japan-world-ja,JAPAN_AND_WORLD_JA,問20(2),q_880487ac25501fda7afa4746,16,latex_in_text
